,metric_accuracy,metric_precision,metric_recall,metric_AUC,model_name,dataset_size,dense_out_features,learning_rate,scheduler,warmup_steps,freeze_embedding_model,batch_size,num_epochs
0,0.8712,0.6732,0.8552,0.8656,sentence-transformers/all-mpnet-base-v2,12800,512,0.0001,warmuplinear,500,True,32,8
1,0.8692,0.6703,0.8487,0.862,sentence-transformers/all-mpnet-base-v2,12800,256,0.0001,warmuplinear,500,True,32,8
2,0.8688,0.6675,0.8561,0.8643,BAAI/bge-base-en-v1.5,12800,512,0.0001,warmuplinear,500,True,32,8
3,0.8672,0.663,0.8596,0.8645,sentence-transformers/all-mpnet-base-v2,6400,256,0.0001,warmuplinear,500,True,32,8
4,0.8662,0.6633,0.8496,0.8604,BAAI/bge-base-en-v1.5,12800,256,0.0001,warmuplinear,500,True,32,8
5,0.8661,0.7818,0.5796,0.7656,sentence-transformers/all-mpnet-base-v2,100,256,0.0001,warmuplinear,500,True,32,8
6,0.8658,0.6786,0.7913,0.8397,sentence-transformers/all-mpnet-base-v2,200,512,0.0001,warmuplinear,500,True,32,8
7,0.8657,0.6601,0.8578,0.8629,sentence-transformers/all-mpnet-base-v2,6400,512,0.0001,warmuplinear,500,True,32,8
8,0.8656,0.6755,0.8,0.8426,sentence-transformers/all-mpnet-base-v2,200,256,0.0001,warmuplinear,500,True,32,8
9,0.8646,0.6545,0.8713,0.867,sentence-transformers/all-mpnet-base-v2,3200,512,0.0001,warmuplinear,500,True,32,8
10,0.864,0.7771,0.573,0.762,sentence-transformers/all-mpnet-base-v2,100,512,0.0001,warmuplinear,500,True,32,8
11,0.8627,0.6534,0.8583,0.8611,BAAI/bge-base-en-v1.5,6400,512,0.0001,warmuplinear,500,True,32,8
12,0.8624,0.6585,0.8343,0.8526,sentence-transformers/all-distilroberta-v1,12800,512,0.0001,warmuplinear,500,True,32,8
13,0.8622,0.6514,0.8622,0.8622,BAAI/bge-base-en-v1.5,6400,256,0.0001,warmuplinear,500,True,32,8
14,0.8612,0.679,0.7522,0.823,sentence-transformers/all-distilroberta-v1,200,512,0.0001,warmuplinear,500,True,32,8
15,0.8606,0.6557,0.8296,0.8497,sentence-transformers/all-distilroberta-v1,12800,256,0.0001,warmuplinear,500,True,32,8
16,0.8602,0.6464,0.8657,0.8621,sentence-transformers/all-mpnet-base-v2,3200,256,0.0001,warmuplinear,500,True,32,8
17,0.8601,0.6502,0.8478,0.8558,all-MiniLM-L12-v2,12800,512,0.0001,warmuplinear,500,True,32,8
18,0.8599,0.6762,0.75,0.8214,sentence-transformers/all-distilroberta-v1,200,256,0.0001,warmuplinear,500,True,32,8
19,0.8592,0.6505,0.8383,0.8519,sentence-transformers/all-distilroberta-v1,6400,512,0.0001,warmuplinear,500,True,32,8
20,0.8587,0.6437,0.8639,0.8605,BAAI/bge-base-en-v1.5,3200,512,0.0001,warmuplinear,500,True,32,8
21,0.8579,0.6773,0.73,0.8131,all-MiniLM-L12-v2,200,256,0.0001,warmuplinear,500,True,32,8
22,0.8577,0.6808,0.7178,0.8087,all-MiniLM-L12-v2,200,512,0.0001,warmuplinear,500,True,32,8
23,0.8573,0.6584,0.7887,0.8332,BAAI/bge-base-en-v1.5,400,256,0.0001,warmuplinear,500,True,32,8
24,0.8569,0.6468,0.8322,0.8482,sentence-transformers/all-distilroberta-v1,6400,256,0.0001,warmuplinear,500,True,32,8
25,0.8569,0.645,0.8404,0.8511,all-MiniLM-L12-v2,12800,256,0.0001,warmuplinear,500,True,32,8
26,0.8569,0.6407,0.8604,0.8581,sentence-transformers/all-mpnet-base-v2,400,512,0.0001,warmuplinear,500,True,32,8
27,0.8561,0.6353,0.8787,0.864,sentence-transformers/all-mpnet-base-v2,1600,512,0.0001,warmuplinear,500,True,32,8
28,0.8558,0.637,0.8674,0.8599,BAAI/bge-base-en-v1.5,3200,256,0.0001,warmuplinear,500,True,32,8
29,0.8557,0.6359,0.8717,0.8613,sentence-transformers/all-mpnet-base-v2,1600,256,0.0001,warmuplinear,500,True,32,8
30,0.8553,0.6513,0.7983,0.8353,BAAI/bge-base-en-v1.5,400,512,0.0001,warmuplinear,500,True,32,8
31,0.8544,0.6365,0.8557,0.8548,all-MiniLM-L12-v2,6400,256,0.0001,warmuplinear,500,True,32,8
32,0.8543,0.6381,0.847,0.8517,all-MiniLM-L12-v2,6400,512,0.0001,warmuplinear,500,True,32,8
33,0.8537,0.6338,0.8617,0.8565,sentence-transformers/all-mpnet-base-v2,400,256,0.0001,warmuplinear,500,True,32,8
34,0.8536,0.6366,0.847,0.8513,sentence-transformers/all-distilroberta-v1,3200,512,0.0001,warmuplinear,500,True,32,8
35,0.8526,0.6303,0.8687,0.8582,BAAI/bge-base-en-v1.5,1600,512,0.0001,warmuplinear,500,True,32,8
36,0.8524,0.6284,0.8765,0.8609,sentence-transformers/all-mpnet-base-v2,800,512,0.0001,warmuplinear,500,True,32,8
37,0.8517,0.6293,0.8643,0.8561,BAAI/bge-base-en-v1.5,1600,256,0.0001,warmuplinear,500,True,32,8
38,0.8512,0.6255,0.8796,0.8611,sentence-transformers/all-mpnet-base-v2,800,256,0.0001,warmuplinear,500,True,32,8
39,0.8498,0.6309,0.8361,0.845,sentence-transformers/all-distilroberta-v1,3200,256,0.0001,warmuplinear,500,True,32,8
40,0.8497,0.6251,0.8657,0.8553,all-MiniLM-L12-v2,3200,512,0.0001,warmuplinear,500,True,32,8
41,0.8493,0.8512,0.4178,0.698,BAAI/bge-base-en-v1.5,200,512,0.0001,warmuplinear,500,True,32,8
42,0.8492,0.6262,0.8543,0.851,sentence-transformers/all-distilroberta-v1,1600,512,0.0001,warmuplinear,500,True,32,8
43,0.8491,0.6255,0.857,0.8519,BAAI/bge-base-en-v1.5,800,512,0.0001,warmuplinear,500,True,32,8
44,0.8487,0.6242,0.86,0.8527,all-MiniLM-L12-v2,3200,256,0.0001,warmuplinear,500,True,32,8
45,0.8481,0.6261,0.843,0.8463,sentence-transformers/all-distilroberta-v1,400,512,0.0001,warmuplinear,500,True,32,8
46,0.848,0.6258,0.8435,0.8464,sentence-transformers/all-distilroberta-v1,1600,256,0.0001,warmuplinear,500,True,32,8
47,0.8475,0.625,0.8426,0.8458,sentence-transformers/all-distilroberta-v1,400,256,0.0001,warmuplinear,500,True,32,8
48,0.8474,0.7927,0.4557,0.71,sentence-transformers/all-distilroberta-v1,100,512,0.0001,warmuplinear,500,True,32,8
49,0.8467,0.6202,0.8604,0.8515,BAAI/bge-base-en-v1.5,800,256,0.0001,warmuplinear,500,True,32,8
50,0.8466,0.7969,0.447,0.7065,sentence-transformers/all-distilroberta-v1,100,256,0.0001,warmuplinear,500,True,32,8
51,0.8465,0.6196,0.8617,0.8518,sentence-transformers/all-distilroberta-v1,800,512,0.0001,warmuplinear,500,True,32,8
52,0.844,0.6156,0.857,0.8485,sentence-transformers/all-distilroberta-v1,800,256,0.0001,warmuplinear,500,True,32,8
53,0.844,0.862,0.383,0.6824,BAAI/bge-base-en-v1.5,200,256,0.0001,warmuplinear,500,True,32,8
54,0.8433,0.6193,0.827,0.8376,all-MiniLM-L12-v2,400,512,0.0001,warmuplinear,500,True,32,8
55,0.8425,0.8304,0.3961,0.686,all-MiniLM-L12-v2,100,512,0.0001,warmuplinear,500,True,32,8
56,0.842,0.6106,0.8643,0.8498,all-MiniLM-L12-v2,1600,512,0.0001,warmuplinear,500,True,32,8
57,0.8419,0.61,0.867,0.8507,all-MiniLM-L12-v2,1600,256,0.0001,warmuplinear,500,True,32,8
58,0.8409,0.6138,0.8313,0.8375,all-MiniLM-L12-v2,400,256,0.0001,warmuplinear,500,True,32,8
59,0.8373,0.6017,0.8657,0.8472,all-MiniLM-L12-v2,800,256,0.0001,warmuplinear,500,True,32,8
60,0.8363,0.6007,0.86,0.8446,all-MiniLM-L12-v2,800,512,0.0001,warmuplinear,500,True,32,8
61,0.8357,0.8369,0.3548,0.6671,all-MiniLM-L12-v2,100,256,0.0001,warmuplinear,500,True,32,8
62,0.7948,0.5952,0.337,0.6343,jinaai/jina-embeddings-v2-small-en,800,256,0.0001,warmuplinear,500,True,32,8
63,0.7936,0.5953,0.3204,0.6277,jinaai/jina-embeddings-v2-small-en,800,512,0.0001,warmuplinear,500,True,32,8
64,0.7881,0.5373,0.5674,0.7107,jinaai/jina-embeddings-v2-small-en,1600,512,0.0001,warmuplinear,500,True,32,8
65,0.7863,0.5335,0.5643,0.7085,jinaai/jina-embeddings-v2-small-en,1600,256,0.0001,warmuplinear,500,True,32,8
66,0.7849,0.5271,0.6309,0.7309,jinaai/jina-embeddings-v2-small-en,12800,512,0.0001,warmuplinear,500,True,32,8
67,0.7842,0.5263,0.6178,0.7259,jinaai/jina-embeddings-v2-small-en,6400,512,0.0001,warmuplinear,500,True,32,8
68,0.7838,0.5262,0.6017,0.72,jinaai/jina-embeddings-v2-small-en,3200,256,0.0001,warmuplinear,500,True,32,8
69,0.7837,0.5253,0.6187,0.7258,jinaai/jina-embeddings-v2-small-en,6400,256,0.0001,warmuplinear,500,True,32,8
70,0.7834,0.5253,0.6052,0.7209,jinaai/jina-embeddings-v2-small-en,3200,512,0.0001,warmuplinear,500,True,32,8
71,0.7834,0.5246,0.6213,0.7266,jinaai/jina-embeddings-v2-small-en,12800,256,0.0001,warmuplinear,500,True,32,8
72,0.7761,0.6344,0.0626,0.5259,jinaai/jina-embeddings-v2-small-en,400,512,0.0001,warmuplinear,500,True,32,8
73,0.7713,0.6667,0.0113,0.5048,jinaai/jina-embeddings-v2-small-en,400,256,0.0001,warmuplinear,500,True,32,8
74,0.77,0.0,0.0,0.5,jinaai/jina-embeddings-v2-small-en,200,512,0.0001,warmuplinear,500,True,32,8
